Date,"Sarcoidosi"
2018-07-28,299
2018-07-29,343
2018-07-30,348
2018-07-31,333
2018-08-01,284
2018-08-02,1066
2018-08-03,425
2018-08-04,260
2018-08-05,242
2018-08-06,287
2018-08-07,275
2018-08-08,372
2018-08-09,323
2018-08-10,267
2018-08-11,193
2018-08-12,201
2018-08-13,220
2018-08-14,209
2018-08-15,186
2018-08-16,254
2018-08-17,211
2018-08-18,158
2018-08-19,160
2018-08-20,231
2018-08-21,278
2018-08-22,296
2018-08-23,299
2018-08-24,334
2018-08-25,254
2018-08-26,270
2018-08-27,311
2018-08-28,343
2018-08-29,389
2018-08-30,366
2018-08-31,328
2018-09-01,261
2018-09-02,231
2018-09-03,288
2018-09-04,625
2018-09-05,404
2018-09-06,368
2018-09-07,419
2018-09-08,379
2018-09-09,273
2018-09-10,407
2018-09-11,337
2018-09-12,321
2018-09-13,363
2018-09-14,378
2018-09-15,387
2018-09-16,585
2018-09-17,483
2018-09-18,456
2018-09-19,487
2018-09-20,458
2018-09-21,506
2018-09-22,349
2018-09-23,228
2018-09-24,272
2018-09-25,294
2018-09-26,254
2018-09-27,291
2018-09-28,249
2018-09-29,145
2018-09-30,148
2018-10-01,202
2018-10-02,184
2018-10-03,200
2018-10-04,249
2018-10-05,257
2018-10-06,240
2018-10-07,191
2018-10-08,343
2018-10-09,329
2018-10-10,404
2018-10-11,316
2018-10-12,296
2018-10-13,201
2018-10-14,207
2018-10-15,293
2018-10-16,345
2018-10-17,317
2018-10-18,324
2018-10-19,292
2018-10-20,221
2018-10-21,184
2018-10-22,274
2018-10-23,255
2018-10-24,278
2018-10-25,284
2018-10-26,245
2018-10-27,246
2018-10-28,240
2018-10-29,243
2018-10-30,318
2018-10-31,269
2018-11-01,241
2018-11-02,291
2018-11-03,231
2018-11-04,221
2018-11-05,316
2018-11-06,335
2018-11-07,305
2018-11-08,307
2018-11-09,393
2018-11-10,194
2018-11-11,261
2018-11-12,320
2018-11-13,357
2018-11-14,286
2018-11-15,303
2018-11-16,318
2018-11-17,240
2018-11-18,277
2018-11-19,342
2018-11-20,342
2018-11-21,314
2018-11-22,308
2018-11-23,357
2018-11-24,230
2018-11-25,190
2018-11-26,212
2018-11-27,266
2018-11-28,203
2018-11-29,223
2018-11-30,240
2018-12-01,171
2018-12-02,166
2018-12-03,227
2018-12-04,328
2018-12-05,284
2018-12-06,297
2018-12-07,261
2018-12-08,234
2018-12-09,270
